sample_no,jar_soil_mass,cn_soil_mass,n_extraction_soil_mass,n_leachate_glassware_pre,n_leachate_soil_mass_pre,n_leachate_soil_glassware_post,n_leachate_soil_mass_post,water_absorbed_soil,water_leachate
16,528.15,9.144,5.005,205.82,15,226.28,20.46,5.46,19.54
17,528.89,8.35,5.008,215.86,14.95,235.85,19.99,5.04,19.96
20,532.47,8.026,5.044,225.14,14.96,246.49,21.35,6.39,18.61
21,519.51,8.242,5.03,211.48,15.04,236.56,25.08,10.04,14.96
27,525.91,8.071,5.003,212.3,15.05,232.74,20.44,5.39,19.61
35,506.76,7.968,4.993,219.71,15.04,245.37,25.66,10.62,14.38
38,521.6,8.996,5.016,211.78,15.01,230.85,19.07,4.06,20.94
69,526.97,,5.012,205.92,15.01,231.11,25.19,10.18,14.82
70,521.34,8.403,5.035,195.57,15.06,216.31,20.74,5.68,19.32
75,520.26,,5.007,214.33,14.97,239.64,25.31,10.34,14.66
80,530.39,8.229,5.016,202.95,14.98,228.25,25.3,10.32,14.68
81,519.36,,4.994,221.32,14.98,246.05,24.73,9.75,15.25
82,518.66,,5.005,189.53,15,215.05,25.52,10.52,14.48
88,521.93,,5,208.41,15.01,228.45,20.04,5.03,19.97
106,518.77,,5,212.35,15.04,237.74,25.39,10.35,14.65
111,499.11,,4.994,189.52,15.03,209.53,20.01,4.98,20.02
118,507.96,,5.012,241.26,15.05,266.98,25.72,10.67,14.33
120,513.46,,5.009,211.83,15.01,233.34,21.51,6.5,18.5
123,519.75,,4.998,213.12,15.02,233.58,20.46,5.44,19.56
125,526.64,,5.003,208.91,14.99,235.24,26.33,11.34,13.66
