,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,ROX,,Unkn,048-1,NaN,NaN
,A02,ROX,,Unkn,048-2,NaN,NaN
,A03,ROX,,Unkn,014-1,NaN,NaN
,A04,ROX,,Unkn,014-2,NaN,NaN
,A05,ROX,,Unkn,014-3,NaN,NaN
,A06,ROX,,Unkn,007-1,1.16425593838687,NaN
,A07,ROX,,Unkn,007-2,NaN,NaN
,A08,ROX,,Unkn,007-3,NaN,NaN
,A09,ROX,,Unkn,007-4,1.41726601674341,NaN
,A10,ROX,,Unkn,007-5,NaN,NaN
,A11,ROX,,Unkn,008-1,NaN,NaN
,A12,ROX,,Unkn,008-2,NaN,NaN
,B01,ROX,,Unkn,008-3,NaN,NaN
,B02,ROX,,Unkn,008-4,NaN,NaN
,B03,ROX,,Unkn,008-5,NaN,NaN
,B04,ROX,,Unkn,011-1,NaN,NaN
,B05,ROX,,Unkn,011-2,NaN,NaN
,B06,ROX,,Unkn,011-3,NaN,NaN
,B07,ROX,,Unkn,011-4,NaN,NaN
,B08,ROX,,Unkn,011-5,NaN,NaN
,B09,ROX,,Unkn,026-1,NaN,NaN
,B10,ROX,,Unkn,026-2,NaN,NaN
,B11,ROX,,Unkn,026-3,NaN,NaN
,B12,ROX,,Unkn,026-4,NaN,NaN
,C01,ROX,,Unkn,026-5,NaN,NaN
,C02,ROX,,Unkn,028-1,NaN,NaN
,C03,ROX,,Unkn,028-2,NaN,NaN
,C04,ROX,,Unkn,028-3,NaN,NaN
,C05,ROX,,Unkn,028-4,NaN,NaN
,C06,ROX,,Unkn,028-5,NaN,NaN
,C07,ROX,,Unkn,030-1,NaN,NaN
,C08,ROX,,Unkn,030-2,NaN,NaN
,C09,ROX,,Unkn,030-3,NaN,NaN
,C10,ROX,,Unkn,030-4,NaN,NaN
,C11,ROX,,Unkn,030-5,NaN,NaN
,C12,ROX,,Unkn,034-1,NaN,NaN
,D01,ROX,,Unkn,034-2,NaN,NaN
,D02,ROX,,Unkn,034-3,NaN,NaN
,D03,ROX,,Unkn,034-4,NaN,NaN
,D04,ROX,,Unkn,034-5,NaN,NaN
,D05,ROX,,Unkn,051-1,NaN,NaN
