,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,,,
A,Sample,,019-1,019-2,024-1,024-2,Blank,016-1,016-2,016-3,,,
A,Cq,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,
A,copy number,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,
B,Content,,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,,,
B,Sample,,016-4,016-5,017-1,017-2,017-3,017-4,017-5,020-1,,,
B,Cq,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,
B,copy number,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,
C,Content,,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,,,
C,Sample,,020-2,020-3,020-4,020-5,027-1,027-2,027-3,027-4,,,
C,Cq,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,
C,copy number,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,
D,Content,,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,,,
D,Sample,,027-5,029-1,029-2,029-3,029-4,029-5,035-1,035-2,,,
D,Cq,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,
D,copy number,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,
E,Content,,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,,,
E,Sample,,035-3,035-4,035-5,079-1,079-2,079-3,079-4,079-5,,,
E,Cq,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,
E,copy number,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,
F,Content,,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,,,
F,Sample,,083-1,083-2,083-3,083-4,083-5,085-1,085-2,085-3,,,
F,Cq,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,
F,copy number,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,
G,Content,,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,,,
G,Sample,,085-4,085-5,090-1,090-2,090-3,090-4,090-5,109-1,,,
G,Cq,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,
G,copy number,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,
H,Content,,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,,,
H,Sample,,109-2,109-3,109-4,109-5,Blank,019-3,024-3,,,,
H,Cq,,6.21800789484659,NaN,NaN,NaN,NaN,NaN,19.7869914674162,38.6699126874273,,,
H,copy number,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,
